Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	actividad	1362	344064	180224	24576	139264	BTree	0
dbo	actividadContr	494889	8011776	7905280	65536	40960	BTree	0
dbo	archivo	78339	35040870400	34998157312	2555904	40157184	BTree	0
dbo	autorizaform	6317492	106905600	106479616	360448	65536	BTree	0
dbo	carpeta	35	73728	8192	8192	57344	Heap	0
dbo	consulta	1375200	34357248	34168832	90112	98304	BTree	0
dbo	contrato	28	73728	8192	8192	57344	BTree	0
dbo	contribuyente	209766	35930112	35758080	147456	24576	BTree	0
dbo	detalle	10824040	483377152	349700096	132603904	1073152	Heap	0
dbo	dg_form	38224	991232	909312	8192	73728	Heap	0
dbo	documento	1062540	15351808	15163392	172032	16384	BTree	0
dbo	empresa	41	147456	8192	24576	114688	BTree	0
dbo	empresainstitucion	36	73728	8192	8192	57344	BTree	0
dbo	form22	499165	300261376	291307520	8912896	40960	BTree	0
dbo	form29	4064862	1371373568	1320108032	51224576	40960	BTree	0
dbo	honorario	46758	3497984	2531328	98304	868352	BTree	0
dbo	logacs	157623	6103040	5283840	8192	811008	Heap	0
dbo	logact	526	73728	24576	8192	40960	Heap	0
dbo	logact_2	0	0	0	0	0	Heap	0
dbo	logerr	0	0	0	0	0	Heap	0
dbo	logsis	54	73728	8192	8192	57344	Heap	0
dbo	logtask	0	0	0	0	0	Heap	0
dbo	logtrx	44316	1908736	1761280	8192	139264	Heap	0
dbo	lotes	1021	286433280	286212096	16384	204800	Heap	0
dbo	menu	13	73728	8192	8192	57344	BTree	0
dbo	migrations	0	0	0	0	0	Heap	0
dbo	perfil	10	73728	8192	8192	57344	BTree	0
dbo	perfilempresa	5	73728	8192	8192	57344	Heap	0
dbo	perfilmenu	46	73728	8192	8192	57344	BTree	0
dbo	propiedad	146648	9314304	9207808	90112	16384	BTree	0
dbo	representante	157291	8134656	8019968	57344	57344	BTree	0
dbo	servicio	7	73728	8192	8192	57344	BTree	0
dbo	serviciocontratado	65	73728	8192	8192	57344	BTree	0
dbo	situacion	59710	2564096	2252800	16384	294912	BTree	0
dbo	sociedad	88058	7520256	7413760	81920	24576	BTree	0
dbo	socio	237979	11608064	11509760	73728	24576	BTree	0
dbo	testable	2	73728	8192	8192	57344	Heap	0
dbo	timbrajes	4	73728	8192	8192	57344	Heap	0
dbo	usuario	4465	548864	188416	163840	196608	BTree	0
